Latitude,Longitude,Weather,Light_Condition,Road_Surface,Road_Function,Speed_Limit(MPH),Day,Month,Hour,Number_of_Vehicles,Intersection,Fatalities
35.20923889,-119.1817111,Cloudy,Daylight,Dry,Interstate,55.0,8,February,Unknown Hours,1,Not an Intersection,1
35.40818889,-119.0505972,Clear,Dark - Not Lighted,Dry,Other Freeways and Expressways,70.0,13,February,0:00am-0:59am,1,Not an Intersection,1
35.02768333,-118.352375,Clear,Daylight,Dry,Minor Arterial,55.0,18,January,7:00am-7:59am,2,Not an Intersection,1
37.43833889,-121.0061444,Rain,Dark - Not Lighted,Wet,Major Collector,55.0,13,January,7:00pm-7:59pm,2,T-Intersection,1
37.79860833,-121.0214472,Rain,Daylight,Wet,Other Principal Arterial,55.0,16,January,3:00pm-3:59pm,1,Not an Intersection,1
35.36885,-118.9206917,Clear,Dark - Lighted,Dry,Minor Arterial,35.0,17,February,1:00am-1:59am,2,Not an Intersection,1
40.50846944,-122.340225,Cloudy,Dark - Not Lighted,Wet,Interstate,70.0,17,February,4:00am-4:59am,1,Not an Intersection,1
38.60583333,-121.33335,Clear,Daylight,Wet,Other Principal Arterial,40.0,8,February,7:00am-7:59am,3,Not an Intersection,1
34.075,-117.3703861,Rain,Dark - Lighted,Wet,Other Principal Arterial,40.0,1,February,5:00am-5:59am,1,Four-Way Intersection,1
35.38982778,-117.8112361,Clear,Daylight,Dry,Major Collector,55.0,8,January,8:00am-8:59am,2,Not an Intersection,1
39.24337778,-121.5997389,Clear,Dark - Lighted,Dry,Other Principal Arterial,65.0,24,February,10:00pm-10:59pm,1,Not an Intersection,1
38.16763056,-121.1441722,Clear,Dark - Lighted,Dry,Other Principal Arterial,35.0,25,January,10:00pm-10:59pm,1,T-Intersection,1
35.07976944,-116.3869417,Clear,Daylight,Dry,Interstate,70.0,14,February,12:00pm-12:59pm,2,Not an Intersection,1
35.41259722,-118.9006611,Clear,Dark - Lighted,Dry,Minor Arterial,45.0,14,February,11:00pm-11:59pm,1,Not an Intersection,1
36.29819167,-119.2456833,Clear,Dawn,Dry,Major Collector,55.0,28,February,6:00am-6:59am,2,Not an Intersection,1
37.97113611,-122.5284639,Rain,Dark - Lighted,Wet,Other Principal Arterial,30.0,13,January,7:00pm-7:59pm,1,Four-Way Intersection,1
35.76565278,-119.0532917,Clear,Dark - Not Lighted,Dry,Other Principal Arterial,55.0,17,January,6:00pm-6:59pm,2,Not an Intersection,2
38.72162778,-121.5403472,Cloudy,Dark - Not Lighted,Wet,Other Freeways and Expressways,65.0,21,January,3:00am-3:59am,1,Not an Intersection,1
39.15507222,-122.8914167,Clear,Daylight,Dry,Other Principal Arterial,55.0,9,February,1:00pm-1:59pm,1,Not an Intersection,1
33.93442222,-118.0926167,Cloudy,Dark - Lighted,Dry,Interstate,65.0,24,January,4:00am-4:59am,1,Not an Intersection,1
35.24418056,-119.00325,Clear,Dawn,Dry,Major Collector,55.0,23,February,6:00am-6:59am,1,Not an Intersection,3
36.159825,-119.3330722,Rain,Dark - Not Lighted,Wet,Other Freeways and Expressways,70.0,6,February,4:00am-4:59am,1,Not an Intersection,1
35.25712222,-119.0201528,Rain,Dark - Not Lighted,Wet,Other Freeways and Expressways,55.0,3,January,3:00am-3:59am,2,Not an Intersection,1
34.02474167,-117.5413611,Rain,Daylight,Wet,Other Principal Arterial,55.0,20,January,3:00pm-3:59pm,1,Not an Intersection,1
38.86639722,-121.55475,Cloudy,Daylight,Dry,Other Principal Arterial,55.0,17,February,7:00am-7:59am,2,Four-Way Intersection,1
39.79327222,-121.8987417,Clear,Dark - Lighted,Dry,Other Principal Arterial,55.0,25,February,11:00pm-11:59pm,1,T-Intersection,1
40.68746111,-122.2464306,Cloudy,Daylight,Dry,Minor Arterial,55.0,27,January,1:00pm-1:59pm,1,Not an Intersection,1
35.41431667,-119.0570972,"Fog, Smog, Smoke",Dark - Lighted,Not Reported,Other Freeways and Expressways,65.0,2,January,6:00pm-6:59pm,3,Not an Intersection,1
